Location Code,County,Area Name,Region,School Years,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Area Type,Street Address,City,State,Zip Code,Location 1
600000,N/A,NORTHEASTERN NEW YORK,NORTHEASTERN NEW YORK,2016-2018,10355,16.5,11052,17.6,21407,34.2,DISTRICT TOTAL,REGION,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2010-2012,78,16.3,89,18.6,167,34.9,MIDDLE/HIGH,COUNTY,,,,,
48,PUTNAM,PUTNAM,HUDSON VALLEY,2014-2016,697,16.3,646,15.1,1343,31.4,DISTRICT TOTAL,COUNTY,,,,,
120501,DELAWARE,DELAWARE ACADEMY CENTRAL SCHOOL DISTRICT AT DELHI,NORTHEASTERN NEW YORK,2012-2014,38,15.3,33,13.3,71,28.5,DISTRICT TOTAL,SCHOOL DISTRICT,2 SHELDON DR,DELHI,NY,13753,"(42.2737, -74.916)"
660805,WESTCHESTER,VALHALLA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,85,15.7,70,12.9,155,28.7,DISTRICT TOTAL,SCHOOL DISTRICT,316 COLUMBUS AVE,VALHALLA,NY,10595,"(41.0927, -73.778)"
64,WASHINGTON,WASHINGTON,NORTHEASTERN NEW YORK,2016-2018,518,18.8,579,21.0,1097,39.8,DISTRICT TOTAL,COUNTY,,,,,
600301,TIOGA,CANDOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2010-2012,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1 ACADEMY ST,CANDOR,NY,13743,"(42.2276, -76.3379)"
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2016-2018,583,16.5,745,21.1,1328,37.7,DISTRICT TOTAL,COUNTY,,,,,
440601,ORANGE,GOSHEN CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,111,15.3,118,16.3,229,31.5,DISTRICT TOTAL,SCHOOL DISTRICT,227 MAIN ST,GOSHEN,NY,10924,"(41.4043, -74.3198)"
472202,OTSEGO,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,24,22.6,17,16.0,41,38.7,ELEMENTARY,SCHOOL DISTRICT,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,"(42.8144, -74.7703)"
580507,SUFFOLK,CONNETQUOT CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2016-2018,144,16.6,168,19.3,312,35.9,MIDDLE/HIGH,SCHOOL DISTRICT,780 OCEAN AVE,BOHEMIA,NY,11716,"(40.7602, -73.1179)"
461801,OSWEGO,PULASKI CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2016-2018,70,19.4,93,25.8,163,45.3,DISTRICT TOTAL,SCHOOL DISTRICT,2 HINMAN RD,PULASKI,NY,13142,"(43.5706, -76.1359)"
121401,DELAWARE,MARGARETVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,8,36.4,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,415 MAIN ST,MARGARETVILLE,NY,12455,"(42.1454, -74.6532)"
630801,WARREN,HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,19,17.6,17,15.7,36,33.3,ELEMENTARY,SCHOOL DISTRICT,27 BEN ROSA PARK,LAKE LUZERNE,NY,12846,"(43.3236, -73.8394)"
28,NASSAU,NASSAU,NASSAU-SUFFOLK,2016-2018,4263,17.6,3545,14.6,7808,32.2,MIDDLE/HIGH,COUNTY,,,,,
63,WARREN,WARREN,NORTHEASTERN NEW YORK,2012-2014,301,17.3,293,16.8,594,34.1,ELEMENTARY,COUNTY,,,,,
62,ULSTER,ULSTER,HUDSON VALLEY,2010-2012,508,16.7,621,20.4,1129,37.2,MIDDLE/HIGH,COUNTY,,,,,
43,ONTARIO,ONTARIO,FINGER LAKES,2010-2012,504,16.1,451,14.4,955,30.6,ELEMENTARY,COUNTY,,,,,
55,SCHUYLER,SCHUYLER,FINGER LAKES,2012-2014,54,20.7,50,19.2,104,39.8,MIDDLE/HIGH,COUNTY,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2016-2018,4386,15.2,4481,15.5,8867,30.6,ELEMENTARY,REGION,,,,,
55,SCHUYLER,SCHUYLER,FINGER LAKES,2016-2018,17,9.8,15,8.6,32,18.4,ELEMENTARY,COUNTY,,,,,
66,WESTCHESTER,WESTCHESTER,HUDSON VALLEY,2016-2018,4263,15.6,3208,11.7,7471,27.3,ELEMENTARY,COUNTY,,,,,
15,ESSEX,ESSEX,NORTHEASTERN NEW YORK,2012-2014,101,19.5,98,18.9,199,38.3,MIDDLE/HIGH,COUNTY,,,,,
47,OTSEGO,OTSEGO,NORTHEASTERN NEW YORK,2012-2014,247,16.5,198,13.2,445,29.8,ELEMENTARY,COUNTY,,,,,
42,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2010-2012,3300,15.9,3336,16.1,6636,32.1,DISTRICT TOTAL,COUNTY,,,,,
10,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,167,18.0,186,20.1,353,38.1,MIDDLE/HIGH,COUNTY,,,,,
40,NIAGARA,NIAGARA,WESTERN NEW YORK,2016-2018,1454,16.3,1756,19.7,3210,36.1,DISTRICT TOTAL,COUNTY,,,,,
56,SENECA,SENECA,FINGER LAKES,2010-2012,114,19.3,153,25.9,267,45.2,MIDDLE/HIGH,COUNTY,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2014-2016,1077,17.0,1212,19.2,2289,36.3,DISTRICT TOTAL,COUNTY,,,,,
51,ST. LAWRENCE,ST. LAWRENCE,CENTRAL NEW YORK,2010-2012,1027,18.5,1351,24.4,2378,42.9,DISTRICT TOTAL,COUNTY,,,,,
44,ORANGE,ORANGE,HUDSON VALLEY,2010-2012,1232,15.4,1340,16.8,2572,32.2,ELEMENTARY,COUNTY,,,,,
18,GENESEE,GENESEE,WESTERN NEW YORK,2012-2014,195,17.3,216,19.1,411,36.4,MIDDLE/HIGH,COUNTY,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,169,18.8,158,17.6,327,36.5,MIDDLE/HIGH,COUNTY,,,,,
17,FULTON,FULTON,NORTHEASTERN NEW YORK,2010-2012,61,13.0,112,23.9,173,37.0,MIDDLE/HIGH,COUNTY,,,,,
25,MADISON,MADISON,CENTRAL NEW YORK,2010-2012,251,19.1,272,20.7,523,39.8,MIDDLE/HIGH,COUNTY,,,,,
44,ORANGE,ORANGE,HUDSON VALLEY,2016-2018,1177,17.6,1434,21.4,2611,39.0,MIDDLE/HIGH,COUNTY,,,,,
2,ALLEGANY,ALLEGANY,WESTERN NEW YORK,2016-2018,363,13.5,336,12.5,699,26.0,DISTRICT TOTAL,COUNTY,,,,,
23,LEWIS,LEWIS,CENTRAL NEW YORK,2016-2018,321,19.7,363,22.2,684,41.9,DISTRICT TOTAL,COUNTY,,,,,
26,MONROE,MONROE,FINGER LAKES,2012-2014,2005,16.9,1785,15.1,3790,32.0,MIDDLE/HIGH,COUNTY,,,,,
40,NIAGARA,NIAGARA,WESTERN NEW YORK,2014-2016,681,18.2,851,22.8,1532,41.1,MIDDLE/HIGH,COUNTY,,,,,
60,TIOGA,TIOGA,NEW YORK - PENN,2012-2014,163,17.7,194,21.0,357,38.7,MIDDLE/HIGH,COUNTY,,,,,
6,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,484,18.6,575,22.1,1059,40.7,MIDDLE/HIGH,COUNTY,,,,,
49,RENSSELAER,RENSSELAER,NORTHEASTERN NEW YORK,2010-2012,553,17.1,508,15.7,1061,32.8,ELEMENTARY,COUNTY,,,,,
58,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2012-2014,5790,17.8,5740,17.6,11530,35.4,MIDDLE/HIGH,COUNTY,,,,,
66,WESTCHESTER,WESTCHESTER,HUDSON VALLEY,2010-2012,2288,15.9,1997,13.8,4285,29.7,MIDDLE/HIGH,COUNTY,,,,,
24,LIVINGSTON,LIVINGSTON,FINGER LAKES,2016-2018,251,16.4,253,16.6,504,33.0,ELEMENTARY,COUNTY,,,,,
62,ULSTER,ULSTER,HUDSON VALLEY,2014-2016,1294,17.1,1506,19.9,2800,37.0,DISTRICT TOTAL,COUNTY,,,,,
46,OSWEGO,OSWEGO,CENTRAL NEW YORK,2016-2018,676,16.1,821,19.5,1497,35.6,ELEMENTARY,COUNTY,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,354,15.0,503,21.3,857,36.4,ELEMENTARY,COUNTY,,,,,
58,SUFFOLK,SUFFOLK,NASSAU-SUFFOLK,2016-2018,12554,17.1,13552,18.4,26106,35.5,DISTRICT TOTAL,COUNTY,,,,,
57,STEUBEN,STEUBEN,FINGER LAKES,2016-2018,390,15.2,441,17.2,831,32.4,ELEMENTARY,COUNTY,,,,,
23,LEWIS,LEWIS,CENTRAL NEW YORK,2016-2018,205,19.5,217,20.7,422,40.2,ELEMENTARY,COUNTY,,,,,
42,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2016-2018,1959,15.5,2096,16.6,4055,32.0,ELEMENTARY,COUNTY,,,,,
44,ORANGE,ORANGE,HUDSON VALLEY,2016-2018,1372,15.8,1568,18.1,2940,33.9,ELEMENTARY,COUNTY,,,,,
45,ORLEANS,ORLEANS,WESTERN NEW YORK,2016-2018,141,19.5,189,26.1,330,45.6,MIDDLE/HIGH,COUNTY,,,,,
48,PUTNAM,PUTNAM,HUDSON VALLEY,2014-2016,351,15.1,342,14.7,693,29.9,ELEMENTARY,COUNTY,,,,,
20,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2012-2014,,,6,54.5,,,MIDDLE/HIGH,COUNTY,,,,,
50,ROCKLAND,ROCKLAND,HUDSON VALLEY,2016-2018,2085,17.3,1992,16.5,4077,33.9,DISTRICT TOTAL,COUNTY,,,,,
62,ULSTER,ULSTER,HUDSON VALLEY,2016-2018,1250,16.8,1500,20.2,2750,37.0,DISTRICT TOTAL,COUNTY,,,,,
20,HAMILTON,HAMILTON,NORTHEASTERN NEW YORK,2016-2018,,,,,,,MIDDLE/HIGH,COUNTY,,,,,
68,YATES,YATES,FINGER LAKES,2016-2018,48,17.4,77,27.9,125,45.3,MIDDLE/HIGH,COUNTY,,,,,
48,PUTNAM,PUTNAM,HUDSON VALLEY,2016-2018,350,17.4,347,17.2,697,34.6,MIDDLE/HIGH,COUNTY,,,,,
18,GENESEE,GENESEE,WESTERN NEW YORK,2014-2016,251,16.1,256,16.5,507,32.6,ELEMENTARY,COUNTY,,,,,
50,ROCKLAND,ROCKLAND,HUDSON VALLEY,2012-2014,877,18.2,818,17.0,1695,35.2,MIDDLE/HIGH,COUNTY,,,,,
51,ST. LAWRENCE,ST. LAWRENCE,CENTRAL NEW YORK,2016-2018,469,15.4,598,19.6,1067,35.0,ELEMENTARY,COUNTY,,,,,
67,WYOMING,WYOMING,WESTERN NEW YORK,2014-2016,79,15.0,106,20.1,185,35.1,MIDDLE/HIGH,COUNTY,,,,,
56,SENECA,SENECA,FINGER LAKES,2014-2016,88,15.4,161,28.2,249,43.7,MIDDLE/HIGH,COUNTY,,,,,
65,WAYNE,WAYNE,FINGER LAKES,2010-2012,780,17.9,857,19.7,1637,37.6,DISTRICT TOTAL,COUNTY,,,NY,,
200000,N/A,FINGER LAKES,FINGER LAKES,2016-2018,7612,15.7,8471,17.5,16083,33.2,DISTRICT TOTAL,REGION,,,,,
45,ORLEANS,ORLEANS,WESTERN NEW YORK,2014-2016,377,18.3,440,21.4,817,39.7,DISTRICT TOTAL,COUNTY,,,,,
64,WASHINGTON,WASHINGTON,NORTHEASTERN NEW YORK,2014-2016,245,15.6,286,18.2,531,33.9,ELEMENTARY,COUNTY,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2010-2012,6707,16.8,7387,18.6,14094,35.4,ELEMENTARY,REGION,,,,,
48,PUTNAM,PUTNAM,HUDSON VALLEY,2010-2012,327,14.8,379,17.2,706,32.0,MIDDLE/HIGH,COUNTY,,,,,
3,BROOME,BROOME,NEW YORK - PENN,2014-2016,804,15.5,818,15.7,1622,31.3,ELEMENTARY,COUNTY,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2012-2014,6178,15.9,6056,15.6,12234,31.6,ELEMENTARY,REGION,,,,,
68,YATES,YATES,FINGER LAKES,2012-2014,69,16.7,92,22.2,161,38.9,ELEMENTARY,COUNTY,,,,,
580302,SUFFOLK,WAINSCOTT COMMON SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,47 MAIN ST,WAINSCOTT,NY,11975,"(40.963, -72.1865)"
580910,SUFFOLK,SAGAPONACK COMMON SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,,,,,,,ELEMENTARY,SCHOOL DISTRICT,400 MAIN ST,SAGAPONACK,NY,11962,"(40.9894, -72.3009)"
56,SENECA,SENECA,FINGER LAKES,2016-2018,262,17.5,325,21.7,587,39.1,DISTRICT TOTAL,COUNTY,,,,,
12,DELAWARE,DELAWARE,NORTHEASTERN NEW YORK,2014-2016,195,16.7,192,16.5,387,33.3,ELEMENTARY,COUNTY,,,,,
48,PUTNAM,PUTNAM,HUDSON VALLEY,2012-2014,672,16.6,650,16.0,1322,32.6,DISTRICT TOTAL,COUNTY,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2014-2016,8866,14.9,9093,15.3,17959,30.2,ELEMENTARY,REGION,,,,,
580903,SUFFOLK,QUOGUE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2016-2018,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,10 EDGEWOOD RD,QUOGUE,NY,11959,"(40.821, -72.6054)"
42,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2012-2014,2021,16.8,2083,17.3,4104,34.1,ELEMENTARY,COUNTY,,,,,
7,CHEMUNG,CHEMUNG,FINGER LAKES,2016-2018,393,18.9,446,21.5,839,40.4,ELEMENTARY,COUNTY,,,,,
46,OSWEGO,OSWEGO,CENTRAL NEW YORK,2014-2016,725,18.0,829,20.6,1554,38.7,ELEMENTARY,COUNTY,,,,,
42,ONONDAGA,ONONDAGA,CENTRAL NEW YORK,2016-2018,3202,15.8,3646,18.0,6848,33.8,DISTRICT TOTAL,COUNTY,,,,,
5,CAYUGA,CAYUGA,CENTRAL NEW YORK,2014-2016,251,19.5,268,20.8,519,40.3,MIDDLE/HIGH,COUNTY,,,,,
150601,ESSEX,KEENE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,,,,,,,ELEMENTARY,SCHOOL DISTRICT,33 MARKET ST,KEENE VALLEY,NY,12943,"(44.1895, -73.7902)"
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2014-2016,4495,17.8,4958,19.7,9453,37.6,MIDDLE/HIGH,REGION,,,,,
51,ST. LAWRENCE,ST. LAWRENCE,CENTRAL NEW YORK,2014-2016,837,16.0,1150,22.0,1987,38.0,DISTRICT TOTAL,COUNTY,,,,,
240101,LIVINGSTON,AVON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,,,,,,,ELEMENTARY,SCHOOL DISTRICT,191 CLINTON ST,AVON,NY,14414,"(42.908, -77.7398)"
471201,OTSEGO,MORRIS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,6,10.9,,,,,ELEMENTARY,SCHOOL DISTRICT,65 MAIN ST,MORRIS,NY,13808,"(42.5507, -75.2373)"
500301,ROCKLAND,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,69,12.8,47,8.7,116,21.6,ELEMENTARY,SCHOOL DISTRICT,160 VAN WYCK RD,BLAUVELT,NY,10913,"(41.0617, -73.971)"
661301,WESTCHESTER,NORTH SALEM CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,55,14.0,25,6.4,80,20.4,DISTRICT TOTAL,SCHOOL DISTRICT,230  JUNE RD,NORTH SALEM,NY,10560,"(41.3539, -73.5937)"
412000,ONEIDA,SHERRILL CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,52,22.6,58,25.2,110,47.8,MIDDLE/HIGH,SCHOOL DISTRICT,5275 STATE RT 31,VERONA,NY,13478,"(43.1351, -75.5815)"
8,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,257,18.3,259,18.4,516,36.8,ELEMENTARY,COUNTY,,,,,
170801,FULTON,MAYFIELD CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2014,15,12.5,20,16.7,35,29.2,ELEMENTARY,SCHOOL DISTRICT,27 SCHOOL ST,MAYFIELD,NY,12117,"(43.1024, -74.2632)"
660407,WESTCHESTER,GREENBURGH CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,73,19.0,51,13.2,124,32.2,ELEMENTARY,SCHOOL DISTRICT,475 W HARTSDALE AVE-ADMIN BLDG,HARTSDALE,NY,10530,"(41.0322, -73.8093)"
441202,ORANGE,KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,,,,,,,ELEMENTARY,SCHOOL DISTRICT,48 BAKERTOWN RD-STE 401,MONROE,NY,10950,"(41.3355, -74.1611)"
40302,CATTARAUGUS,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,25,15.3,35,21.5,60,36.8,MIDDLE/HIGH,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"(42.1321, -78.5021)"
61503,CHAUTAUQUA,FORESTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2016-2018,19,19.2,17,17.2,36,36.4,DISTRICT TOTAL,SCHOOL DISTRICT,12 WATER ST,FORESTVILLE,NY,14062,"(42.4676, -79.181)"
442115,ORANGE,FLORIDA UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,32,17.4,40,21.7,72,39.1,DISTRICT TOTAL,SCHOOL DISTRICT,51 N MAIN ST,FLORIDA,NY,10921,"(41.3334, -74.3576)"
470202,OTSEGO,GILBERTSVILLE-MOUNT UPTON CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,20,15.9,23,18.3,43,34.1,DISTRICT TOTAL,SCHOOL DISTRICT,693 STATE HWY 51,GILBERTSVILLE,NY,13776,"(42.4451, -75.3445)"
11200,ALBANY,WATERVLIET CITY SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,12,17.6,18,26.4,30,44.1,MIDDLE/HIGH,SCHOOL DISTRICT,1245 HILLSIDE DR,WATERVLIET,NY,12189,"(42.7321, -73.7165)"
151001,ESSEX,NEWCOMB CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,5,18.5,,,DISTRICT TOTAL,SCHOOL DISTRICT,5535 RT 28N,NEWCOMB,NY,12852,"(43.9715, -74.151)"
580502,SUFFOLK,ISLIP UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,189,17.5,208,19.3,397,36.9,DISTRICT TOTAL,SCHOOL DISTRICT,215 MAIN ST,ISLIP,NY,11751,"(40.728, -73.2214)"
141501,ERIE,GRAND ISLAND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2016-2018,86,18.0,69,14.5,155,32.5,MIDDLE/HIGH,SCHOOL DISTRICT,1100 RANSOM RD,GRAND ISLAND,NY,14072,"(43.0386, -78.9316)"
500201,ROCKLAND,HAVERSTRAW-STONY POINT CSD (NORTH ROCKLAND),HUDSON VALLEY,2016-2018,287,15.9,226,12.5,513,28.5,ELEMENTARY,SCHOOL DISTRICT,65 CHAPEL ST,GARNERVILLE,NY,10923,"(41.211, -73.9932)"
261301,MONROE,FAIRPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2016-2018,126,11.6,78,7.2,204,18.8,ELEMENTARY,SCHOOL DISTRICT,38 W CHURCH ST,FAIRPORT,NY,14450,"(43.0986, -77.4452)"
280212,NASSAU,MALVERNE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,55,17.4,51,16.1,106,33.5,ELEMENTARY,SCHOOL DISTRICT,301 WICKS LN,MALVERNE,NY,11565,"(40.6704, -73.6624)"
60601,CHAUTAUQUA,PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),WESTERN NEW YORK,2010-2012,18,19.6,31,33.7,49,53.3,MIDDLE/HIGH,SCHOOL DISTRICT,7755 RT 83,SOUTH DAYTON,NY,14138,"(42.3317, -79.0906)"
660809,WESTCHESTER,PLEASANTVILLE UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,28,11.6,15,6.2,43,17.9,MIDDLE/HIGH,SCHOOL DISTRICT,60 ROMER AVE,PLEASANTVILLE,NY,10570,"(41.1338, -73.7858)"
51101,CAYUGA,PORT BYRON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,44,17.3,80,31.4,124,48.6,ELEMENTARY,SCHOOL DISTRICT,30 MAPLE AVE,PORT BYRON,NY,13140,"(43.0403, -76.6192)"
280213,NASSAU,VALLEY STREAM 13 UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,585 N CORONA AVE,VALLEY STREAM,NY,11580,"(40.6818, -73.6893)"
140203,ERIE,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,180,14.0,200,15.5,380,29.5,MIDDLE/HIGH,SCHOOL DISTRICT,105 CASEY RD,EAST AMHERST,NY,14051,"(43.0242, -78.7332)"
480404,PUTNAM,GARRISON UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2014-2016,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1100 RT 9D,GARRISON,NY,10524,"(41.3806, -73.9401)"
580507,SUFFOLK,CONNETQUOT CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2016-2018,330,15.8,375,17.9,705,33.7,DISTRICT TOTAL,SCHOOL DISTRICT,780 OCEAN AVE,BOHEMIA,NY,11716,"(40.7602, -73.1179)"
280502,NASSAU,SYOSSET CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2010-2012,257,14.6,137,7.8,394,22.4,DISTRICT TOTAL,SCHOOL DISTRICT,99 PELL LN,SYOSSET,NY,11791,"(40.8322, -73.4876)"
600000,N/A,NORTHEASTERN NEW YORK,NORTHEASTERN NEW YORK,2012-2014,3970,16.6,4572,19.1,8542,35.7,MIDDLE/HIGH,REGION,,,,,
280402,NASSAU,EAST WILLISTON UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2012-2014,45,16.9,22,8.3,67,25.2,ELEMENTARY,SCHOOL DISTRICT,11 BACON RD,OLD WESTBURY,NY,11568,"(40.7618, -73.6177)"
262001,MONROE,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,37,18.8,39,19.8,76,38.6,DISTRICT TOTAL,SCHOOL DISTRICT,13 BECKWITH AVE,SCOTTSVILLE,NY,14546,"(43.026, -77.7496)"
82001,CHENANGO,SHERBURNE EARLVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2014-2016,58,18.4,67,21.3,125,39.8,ELEMENTARY,SCHOOL DISTRICT,15 SCHOOL ST,SHERBURNE,NY,13460,"(42.6886, -75.5007)"
441101,ORANGE,MINISINK VALLEY CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,99,16.0,107,17.3,206,33.2,ELEMENTARY,SCHOOL DISTRICT,2320 RT 6,SLATE HILL,NY,10973,"(41.3874, -74.5075)"
40901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2014,15,19.5,15,19.5,30,39.0,MIDDLE/HIGH,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"(42.2537, -78.6504)"
62401,CHAUTAUQUA,RIPLEY CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2010-2012,,,15,48.4,,,MIDDLE/HIGH,SCHOOL DISTRICT,12 N STATE ST,RIPLEY,NY,14775,"(42.268, -79.7114)"
110304,CORTLAND,MCGRAW CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2014-2016,26,17.4,40,26.8,66,44.2,DISTRICT TOTAL,SCHOOL DISTRICT,10 W ACADEMY ST,MCGRAW,NY,13101,"(42.5918, -76.0955)"
572702,STEUBEN,JASPER-TROUPSBURG CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,10,11.5,24,27.6,34,39.1,MIDDLE/HIGH,SCHOOL DISTRICT,3769 STATE RT 417,JASPER,NY,14855,"(42.1242, -77.5058)"
441800,ORANGE,PORT JERVIS CITY SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,139,16.6,198,23.7,337,40.3,DISTRICT TOTAL,SCHOOL DISTRICT,9 THOMPSON ST,PORT JERVIS,NY,12771,"(41.3775, -74.6868)"
261801,MONROE,BROCKPORT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2016-2018,202,17.6,198,17.2,400,34.8,DISTRICT TOTAL,SCHOOL DISTRICT,40 ALLEN ST,BROCKPORT,NY,14420,"(43.208, -77.9459)"
42901,CATTARAUGUS,PORTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,43,16.4,51,19.4,94,35.8,ELEMENTARY,SCHOOL DISTRICT,500 ELM ST,PORTVILLE,NY,14770,"(42.0344, -78.3317)"
580601,SUFFOLK,SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,58,12.8,50,11.0,108,23.9,ELEMENTARY,SCHOOL DISTRICT,250B RT 25A,SHOREHAM,NY,11786,"(40.9451, -72.8829)"
440401,ORANGE,PINE BUSH CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2010-2012,88,14.6,113,18.8,201,33.4,ELEMENTARY,SCHOOL DISTRICT,156 RT 302,PINE BUSH,NY,12566,"(41.6013, -74.3067)"
520601,SARATOGA,EDINBURG COMMON SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,,,,,,,DISTRICT TOTAL,SCHOOL DISTRICT,4 JOHNSON RD,EDINBURG,NY,12134,"(43.2208, -74.1268)"
63,WARREN,WARREN,NORTHEASTERN NEW YORK,2012-2014,225,16.4,256,18.7,481,35.1,MIDDLE/HIGH,COUNTY,,,,,
641301,WASHINGTON,HUDSON FALLS CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,64,21.7,79,26.8,143,48.6,MIDDLE/HIGH,SCHOOL DISTRICT,1153 BURGOYNE AVE,HUDSON FALLS,NY,12839,"(43.2834, -73.5815)"
261313,MONROE,EAST ROCHESTER UNION FREE SCHOOL DISTRICT,FINGER LAKES,2014-2016,30,20.9,20,13.9,50,34.9,MIDDLE/HIGH,SCHOOL DISTRICT,222 WOODBINE AVE,EAST ROCHESTER,NY,14445,"(43.1085, -77.4917)"
420901,ONONDAGA,BALDWINSVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,153,16.1,130,13.6,283,29.7,ELEMENTARY,SCHOOL DISTRICT,29 E ONEIDA ST,BALDWINSVILLE,NY,13027,"(43.1625, -76.3307)"
