Location Code,County,Area Name,Region,School Years,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Area Type,Street Address,City,State,Zip Code,Location 1
420807,ONONDAGA,LAFAYETTE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,39,19.3,45,22.3,84,41.6,ELEMENTARY,SCHOOL DISTRICT,5955 US RT 20W,LAFAYETTE,NY,13084,"(42.8931, -76.1133)"
522101,SARATOGA,WATERFORD-HALFMOON UNION FREE SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2014-2016,18,15.3,35,29.9,53,45.2,MIDDLE/HIGH,SCHOOL DISTRICT,125 MIDDLETOWN RD,WATERFORD,NY,12188,"(42.8113, -73.6856)"
10601,ALBANY,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,243,16.0,222,14.6,465,30.7,DISTRICT TOTAL,SCHOOL DISTRICT,102 LORALEE DR,ALBANY,NY,12205,"(42.7316, -73.8394)"
662300,WESTCHESTER,YONKERS CITY SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,563,11.1,1052,20.7,1615,31.7,DISTRICT TOTAL,SCHOOL DISTRICT,1 LARKIN CTR,YONKERS,NY,10701,"(40.9357, -73.9016)"
580206,SUFFOLK,PORT JEFFERSON UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2012-2014,25,12.5,16,8.0,41,20.5,MIDDLE/HIGH,SCHOOL DISTRICT,550 SCRAGGY HILL RD,PORT JEFFERSON,NY,11777,"(40.944, -73.0528)"
230901,LEWIS,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,39,18.9,40,19.4,79,38.3,MIDDLE/HIGH,SCHOOL DISTRICT,7668 N STATE ST,LOWVILLE,NY,13367,"(43.7891, -75.4941)"
250701,MADISON,HAMILTON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,11,20.0,6,10.9,17,30.9,MIDDLE/HIGH,SCHOOL DISTRICT,47 W KENDRICK AVE,HAMILTON,NY,13346,"(42.8224, -75.5474)"
650901,WAYNE,PALMYRA-MACEDON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,42,17.0,60,24.2,102,41.2,MIDDLE/HIGH,SCHOOL DISTRICT,151 HYDE PKWY,PALMYRA,NY,14522,"(43.0579, -77.2447)"
21102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,,,6,54.5,,,MIDDLE/HIGH,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"(42.4615, -77.773)"
662300,WESTCHESTER,YONKERS CITY SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,1786,21.1,819,9.7,2605,30.8,DISTRICT TOTAL,SCHOOL DISTRICT,1 LARKIN CTR,YONKERS,NY,10701,"(40.9357, -73.9016)"
461300,OSWEGO,OSWEGO CITY SCHOOL DISTRICT,CENTRAL NEW YORK,2016-2018,158,16.0,164,16.6,322,32.7,ELEMENTARY,SCHOOL DISTRICT,120 E 1ST ST,OSWEGO,NY,13126,"(43.4567, -76.5073)"
90201,CLINTON,AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,24,18.0,35,26.3,59,44.4,MIDDLE/HIGH,SCHOOL DISTRICT,1273 RT 9N,CLINTONVILLE,NY,12924,"(44.4667, -73.576)"
660202,WESTCHESTER,CROTON-HARMON UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,34,13.2,18,7.0,52,20.2,MIDDLE/HIGH,SCHOOL DISTRICT,10 GERSTEIN ST,CROTON ON HUDSON,NY,10520,"(41.2113, -73.8762)"
